pfi_number,facility_name,procedure,procedure_label,borough,primary_zip3,patient_volume,avg_severity,observed_avg_los,expected_avg_los,oe_ratio_los,observed_adverse_pct,oe_ratio_adverse,clinical_oe,facility_procedure_cost,cost_basis,market_median_cost,pct_vs_market_median,value_index,value_rank,star_rating
1178,BRONXCARE HOSPITAL CENTER,knee,Knee replacement,Bronx,104,375,1.389,3.27,2.25,1.455,40.27,2.225,1.800,36837.20,sparcs_charge,50028.51,-26.4,2.485,19,3
1628,FLUSHING HOSPITAL MEDICAL CENTER,knee,Knee replacement,Queens,113,95,1.147,2.35,2.02,1.163,42.11,2.742,1.786,30973.51,sparcs_charge,50028.51,-38.1,2.311,20,3
1165,JACOBI MEDICAL CENTER,knee,Knee replacement,Bronx,104,107,1.224,2.70,2.13,1.267,18.69,1.140,1.202,73602.28,sparcs_charge,50028.51,47.1,2.203,21,3
1305,MAIMONIDES MEDICAL CENTER,knee,Knee replacement,Brooklyn,112,144,1.174,1.87,2.10,0.888,23.61,1.460,1.138,89305.58,sparcs_charge,50028.51,78.5,2.153,22,3
1629,JAMAICA HOSPITAL MEDICAL CENTER,knee,Knee replacement,Queens,114,101,1.109,2.52,2.04,1.238,46.53,2.947,1.910,30470.66,sparcs_charge,50028.51,-39.1,2.082,23,3
1469,MOUNT SINAI MORNINGSIDE,knee,Knee replacement,Manhattan,100,88,1.182,2.93,2.07,1.417,18.18,1.139,1.271,80406.29,sparcs_charge,50028.51,60.7,1.729,24,3
1320,UNIVERSITY HOSPITAL OF BROOKLYN,knee,Knee replacement,Brooklyn,112,125,1.840,3.67,2.62,1.400,31.20,1.406,1.403,76901.96,sparcs_charge,50028.51,53.7,1.598,25,2
1637,NEWYORK-PRESBYTERIAN/QUEENS,knee,Knee replacement,Queens,113,1360,1.254,3.35,2.13,1.568,42.43,2.532,1.993,58431.97,sparcs_charge,50028.51,16.8,1.555,26,2
1176,SBH HEALTH SYSTEM,knee,Knee replacement,Bronx,104,28,1.286,2.43,2.09,1.165,21.43,1.333,1.246,70731.88,sparcs_charge,50028.51,41.4,1.534,27,2
1294,SOUTH BROOKLYN HEALTH,knee,Knee replacement,Brooklyn,112,51,1.333,4.57,2.16,2.119,15.69,0.923,1.398,66157.14,sparcs_charge,50028.51,32.2,1.529,28,2
1301,KINGS COUNTY HOSPITAL CENTER,knee,Knee replacement,Brooklyn,112,165,1.327,5.39,2.24,2.401,18.79,1.046,1.585,77188.70,sparcs_charge,50028.51,54.3,1.319,29,2
1738,RICHMOND UNIVERSITY MEDICAL CENTER,knee,Knee replacement,Staten Island,103,64,1.188,2.86,2.07,1.382,54.69,3.445,2.182,40324.70,sparcs_charge,50028.51,-19.4,1.088,30,2
1626,ELMHURST HOSPITAL CENTER,knee,Knee replacement,Queens,113,65,1.231,2.62,2.13,1.229,38.46,2.302,1.682,69118.39,sparcs_charge,50028.51,38.2,1.072,31,2
1437,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,knee,Knee replacement,Manhattan,112,91,1.571,4.75,2.42,1.959,28.57,1.469,1.696,87995.27,sparcs_charge,50028.51,75.9,0.894,32,2
1318,WYCKOFF HEIGHTS MEDICAL CENTER,knee,Knee replacement,Brooklyn,112,75,1.280,2.56,2.17,1.182,52.00,3.029,1.892,70532.47,sparcs_charge,50028.51,41.0,0.858,33,1
1288,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,knee,Knee replacement,Brooklyn,112,141,1.865,3.63,2.61,1.392,59.57,2.696,1.937,80333.86,sparcs_charge,50028.51,60.6,0.823,34,1
1309,INTERFAITH MEDICAL CENTER,knee,Knee replacement,Brooklyn,112,79,1.354,3.81,2.30,1.654,78.48,4.298,2.666,42343.93,sparcs_charge,50028.51,-15.4,0.728,35,1
1453,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,knee,Knee replacement,Manhattan,110,15,2.200,5.80,3.09,1.876,33.33,1.220,1.513,123889.56,sparcs_charge,50028.51,147.6,0.489,36,1
1635,ST JOHNS EPISCOPAL HOSPITAL SO SHORE,knee,Knee replacement,Queens,116,38,1.237,5.32,2.21,2.406,39.47,2.228,2.315,74253.11,sparcs_charge,50028.51,48.4,0.461,37,1
1633,QUEENS HOSPITAL CENTER,knee,Knee replacement,Queens,114,30,1.300,5.57,2.18,2.553,36.67,2.125,2.329,76140.99,sparcs_charge,50028.51,52.2,0.416,38,1
1286,BROOKDALE HOSPITAL MEDICAL CENTER,knee,Knee replacement,Brooklyn,112,9,1.333,4.33,2.10,2.067,44.44,2.754,2.386,68174.37,sparcs_charge,50028.51,36.3,0.297,39,1
1324,MOUNT SINAI BROOKLYN,knee,Knee replacement,Brooklyn,112,14,1.429,3.64,2.32,1.571,50.00,2.660,2.044,112760.16,sparcs_charge,50028.51,125.4,0.288,40,1
1458,NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,knee,Knee replacement,Manhattan,100,11,1.455,3.18,2.34,1.358,54.55,2.831,1.961,112973.66,sparcs_charge,50028.51,125.8,0.286,41,1
